,date,open,high,low,close,volume,quote_av,trades,tb_base_av,tb_quote_av,unix
0,2021-01-02 00:00:00,29331.7,33300.0,28946.53,32178.33,129993.873362,4073842163.671541,2245922,67446.305246,2110334723.8871458,1609542000000
1,2021-01-03 00:00:00,32176.45,34778.11,31962.99,33000.05,120957.56675,4057598425.4920163,2369698,59750.332871,2004428433.9318461,1609628400000
2,2021-01-04 00:00:00,33000.05,33600.0,28130.0,31988.71,140899.88569,4429010349.695345,2642408,69088.46923,2173435409.016988,1609714800000
3,2021-01-05 00:00:00,31989.75,34360.0,29900.0,33949.53,116049.997038,3743617144.6469154,2526851,59691.754755,1927195093.6415496,1609801200000
4,2021-01-06 00:00:00,33949.53,36939.21,33288.0,36769.36,127139.20131,4431954248.519614,2591783,63052.914652,2199632470.221549,1609887600000
5,2021-01-07 00:00:00,36769.36,40365.0,36300.0,39432.28,132825.700437,5062569943.383371,2814686,65055.107136,2482583239.8564973,1609974000000
6,2021-01-08 00:00:00,39432.48,41950.0,36500.0,40582.81,139789.957499,5568443208.731365,2925632,67300.155216,2684975445.978905,1610060400000
7,2021-01-09 00:00:00,40586.96,41380.0,38720.0,40088.22,75785.979675,3054779029.1617765,1998156,37007.321909,1491990705.5516992,1610146800000
8,2021-01-10 00:00:00,40088.22,41350.0,35111.11,38150.02,118209.544503,4604034729.507071,2628050,55451.344673,2160976896.8280272,1610233200000
9,2021-01-11 00:00:00,38150.02,38264.74,30420.0,35404.47,251156.138287,8497730017.898506,4472957,123241.588782,4171891522.056786,1610319600000
10,2021-01-12 00:00:00,35410.37,36628.0,32531.0,34051.24,133948.151996,4651302423.484117,2674145,65098.310196,2261732478.8300514,1610406000000
11,2021-01-13 00:00:00,34049.15,37850.0,32380.0,37371.38,124477.914938,4322876606.419626,2514289,63981.038306,2222872691.371912,1610492400000
12,2021-01-14 00:00:00,37371.38,40100.0,36701.23,39144.5,102950.389421,3974826638.1450887,2297466,51264.467092,1979442593.0499995,1610578800000
13,2021-01-15 00:00:00,39145.21,39747.76,34408.0,36742.22,118300.920916,4371588898.681637,2560801,57738.03422,2133723812.7598622,1610665200000
14,2021-01-16 00:00:00,36737.43,37950.0,35357.8,35994.98,86348.431508,3178840336.1492844,2066363,42420.423736,1563160122.0113344,1610751600000
15,2021-01-17 00:00:00,35994.98,36852.5,33850.0,35828.61,80157.727384,2843103040.240664,1860642,39513.638561,1402648632.8512247,1610838000000
16,2021-01-18 00:00:00,35824.99,37469.83,34800.0,36631.27,70698.11875,2554843260.524399,1707766,35621.506048,1289347187.166529,1610924400000
17,2021-01-19 00:00:00,36622.46,37850.0,35844.06,35891.49,79611.307769,2935348499.344214,1939371,38704.68162,1428235709.8519692,1611010800000
18,2021-01-20 00:00:00,35901.94,36415.31,33400.0,35468.23,89368.422918,3126721093.5207763,2234539,42546.634077,1489289968.43647,1611097200000
19,2021-01-21 00:00:00,35468.23,35600.0,30071.0,30850.13,135004.076658,4386783586.504226,2881505,63256.210448,2057240516.6191926,1611183600000
20,2021-01-22 00:00:00,30851.99,33826.53,28850.0,32945.17,142971.684049,4483295872.022273,2707810,70150.188455,2201161570.4986706,1611270000000
21,2021-01-23 00:00:00,32950.0,33456.0,31390.16,32078.0,64595.287675,2089098295.7584367,1700056,32680.776128,1057114174.5522273,1611356400000
22,2021-01-24 00:00:00,32078.0,33071.0,30900.0,32259.9,57978.037966,1864609665.3657017,1528287,27826.119197,895721122.0169544,1611442800000
23,2021-01-25 00:00:00,32259.45,34875.0,31910.0,32254.2,88499.226921,2958759288.5635686,2106548,44489.524132,1488432034.4924214,1611529200000
24,2021-01-26 00:00:00,32254.19,32921.88,30837.37,32467.77,84972.20691,2708545364.4946413,2010392,42402.312917,1352678098.866321,1611615600000
25,2021-01-27 00:00:00,32464.01,32557.29,29241.72,30366.15,95911.961711,2958081421.641559,2065953,46664.381638,1440079785.1205118,1611702000000
26,2021-01-28 00:00:00,30362.19,33783.98,29842.1,33364.86,92621.145617,2953553214.065682,2060660,46067.782326,1468956156.4850712,1611788400000
27,2021-01-29 00:00:00,33368.18,38531.9,31915.4,34252.2,231827.005626,8195593336.228467,4403349,116537.247847,4121941033.6373253,1611874800000
28,2021-01-30 00:00:00,34246.28,34933.0,32825.0,34262.88,84889.68134,2884500062.9380784,2201040,42418.467099,1441981400.6536384,1611961200000
29,2021-01-31 00:00:00,34262.89,34342.69,32171.67,33092.98,68742.280384,2289641045.7580123,1707064,32480.447358,1082502551.5205712,1612047600000
30,2021-02-01 00:00:00,33092.97,34717.27,32296.16,33526.37,82718.276882,2791776658.0056057,1810492,41855.841486,1413158966.728098,1612134000000
31,2021-02-02 00:00:00,33517.09,35984.33,33418.0,35466.24,78056.65988,2716321896.3176084,1789672,39216.563106,1364790964.6368995,1612220400000
32,2021-02-03 00:00:00,35472.71,37662.63,35362.38,37618.87,80784.333663,2951232788.184305,1881740,39863.07506,1456248046.1419172,1612306800000
33,2021-02-04 00:00:00,37620.26,38708.27,36161.95,36936.66,92080.735898,3452669022.1532927,2211866,45516.21369,1707710013.8895385,1612393200000
34,2021-02-05 00:00:00,36936.65,38310.12,36570.0,38290.24,66681.334275,2509278291.7515864,1853253,32756.385031,1232713879.8381383,1612479600000
35,2021-02-06 00:00:00,38289.32,40955.51,38215.94,39186.94,98757.311183,3922095148.9281507,2291646,52015.513362,2065180747.347224,1612566000000
36,2021-02-07 00:00:00,39181.01,39700.0,37351.0,38795.69,84363.679763,3256521384.240611,1976357,40764.388959,1574482907.5639021,1612652400000
37,2021-02-08 00:00:00,38795.69,46794.45,37988.89,46374.87,138597.536914,5881536976.635699,3230961,72345.891568,3069313839.441136,1612738800000
38,2021-02-09 00:00:00,46374.86,48142.19,44961.09,46420.42,115499.861712,5386255398.017187,3119034,57429.564347,2679451036.4918036,1612825200000
39,2021-02-10 00:00:00,46420.42,47310.0,43727.0,44807.58,97154.1822,4431650130.251105,2891592,47971.985731,2190231238.817587,1612911600000
40,2021-02-11 00:00:00,44807.58,48678.9,43994.02,47969.51,89561.081454,4185630934.410895,2570949,46138.33674,2158335922.692323,1612998000000
41,2021-02-12 00:00:00,47968.66,48985.8,46125.0,47287.6,85870.035697,4080571908.9676614,2418841,41841.039135,1990472918.9285848,1613084400000
42,2021-02-13 00:00:00,47298.15,48150.0,46202.53,47153.69,63768.097399,3007710147.4181595,2058823,30996.309859,1462495399.9928117,1613170800000
43,2021-02-14 00:00:00,47156.78,49707.43,47014.17,48577.79,73735.475533,3584808348.8347325,2090070,38752.156681,1884009921.0628607,1613257200000
44,2021-02-15 00:00:00,48580.47,49010.92,45570.79,47911.1,79398.156784,3782219060.664722,2313155,38176.364661,1819251655.7814271,1613343600000
45,2021-02-16 00:00:00,47911.1,50689.18,47003.62,49133.45,88813.266298,4349983777.692368,2199849,45608.603838,2236524604.988356,1613430000000
46,2021-02-17 00:00:00,49133.45,52618.74,48947.0,52119.71,85743.637818,4365831514.815298,2514374,45055.446241,2294099235.2800226,1613516400000
47,2021-02-18 00:00:00,52117.67,52530.0,50901.9,51552.6,60758.046954,3149973077.487466,1891592,28893.358623,1498231635.8439088,1613602800000
48,2021-02-19 00:00:00,51552.61,56368.0,50710.2,55906.0,79659.77802,4251167827.6842465,2339215,40556.020246,2164871310.2239413,1613689200000
49,2021-02-20 00:00:00,55906.0,57700.46,53863.93,55841.19,80948.205314,4551890859.8512745,2642846,38636.066274,2172833878.4409647,1613775600000
50,2021-02-21 00:00:00,55841.19,58352.8,55477.59,57408.57,58166.708511,3317998263.3478894,1950533,29506.089085,1683107088.1573696,1613862000000
